n,m,alfa,rep,mlr_cmax,sa_cmax,mlr_tempo,sa_tempo,diff_pct_cmax,diff_pct_tempo,winner_qualidade,winner_tempo
2500,50,0.90,2,15730,2709,2e-05,0.00147,-82.78,7250.0,SA,MLR
2500,50,0.90,3,63539,2719,2e-05,0.00143,-95.72,7050.0,SA,MLR
2500,50,0.90,4,31378,2707,2e-05,0.00153,-91.37,7550.0,SA,MLR
2500,50,0.90,5,63237,2731,2e-05,0.00139,-95.68,6850.0,SA,MLR
2500,50,0.90,6,63512,2733,1e-05,0.00139,-95.7,13800.0,SA,MLR
2500,50,0.90,7,15634,2586,3e-05,0.00144,-83.46,4700.0,SA,MLR
2500,50,0.90,8,63963,2664,1e-05,0.00146,-95.84,14500.0,SA,MLR
2500,50,0.90,9,32385,2821,2e-05,0.0014,-91.29,6900.0,SA,MLR
2500,50,0.90,10,62627,2669,1e-05,0.00141,-95.74,14000.0,SA,MLR
2500,50,0.95,1,64024,2673,1e-05,0.00286,-95.83,28500.0,SA,MLR
2500,50,0.95,2,15730,2687,2e-05,0.00296,-82.92,14700.0,SA,MLR
2500,50,0.95,3,63539,2655,2e-05,0.00291,-95.82,14450.0,SA,MLR
2500,50,0.95,4,31378,2640,2e-05,0.00292,-91.59,14500.0,SA,MLR
2500,50,0.95,5,63237,2688,2e-05,0.00305,-95.75,15150.0,SA,MLR
2500,50,0.95,6,63512,2645,1e-05,0.00305,-95.84,30400.0,SA,MLR
2500,50,0.95,7,15634,2691,3e-05,0.00302,-82.79,9966.67,SA,MLR
2500,50,0.95,8,63963,2694,1e-05,0.00307,-95.79,30600.0,SA,MLR
2500,50,0.95,9,32385,2709,2e-05,0.00303,-91.64,15050.0,SA,MLR
2500,50,0.95,10,62627,2652,1e-05,0.00299,-95.77,29800.0,SA,MLR
2500,50,0.99,1,64024,2636,1e-05,0.01467,-95.88,146600.0,SA,MLR
2500,50,0.99,2,15730,2596,2e-05,0.01471,-83.5,73450.0,SA,MLR
2500,50,0.99,3,63539,2597,2e-05,0.01507,-95.91,75250.0,SA,MLR
2500,50,0.99,4,31378,2636,2e-05,0.01554,-91.6,77600.0,SA,MLR
2500,50,0.99,5,63237,2714,2e-05,0.01538,-95.71,76800.0,SA,MLR
2500,50,0.99,6,63512,2583,1e-05,0.01579,-95.93,157800.0,SA,MLR
2500,50,0.99,7,15634,2619,3e-05,0.01578,-83.25,52500.0,SA,MLR
2500,50,0.99,8,63963,2672,1e-05,0.01524,-95.82,152300.0,SA,MLR
2500,50,0.99,9,32385,2683,2e-05,0.01501,-91.72,74950.0,SA,MLR
2500,50,0.99,10,62627,2639,1e-05,0.01508,-95.79,150700.0,SA,MLR
